,title,engine,power,transmission,drive_unit,color,mileage,steering,generation,price
25,"Продажа Maserati Quattroporte, 2013 год в Москве","бензин, 3.9 л",530 л.с.,автомат,задний,белый,54333,левый,,3350000
26,"Продажа Hyundai Solaris, 2015 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,коричневый,74000,левый,"1 поколение, рестайлинг",550000
27,"Продажа Skoda Octavia, 2012 год в Москве","бензин, 1.4 л",122 л.с.,автомат,передний,белый,84600,левый,"2 поколение, рестайлинг",500000
28,"Продажа Toyota Vellfire, 2015 год в Москве","бензин, 2.5 л",182 л.с.,автомат,4WD,черный,"88000, б/п по РФ",правый,2 поколение,2220000
29,"Продажа Toyota Land Cruiser, 2014 год в Москве","дизель, 4.5 л",235 л.с.,автомат,4WD,белый,93000,левый,"11 поколение, рестайлинг",2995000
30,"Продажа Lexus LX570, 2012 год в Москве","бензин, 5.7 л, ГБО",367 л.с.,автомат,4WD,белый,,левый,3 поколение,3440000
31,"Продажа Chevrolet Express, 2003 год в Москве",бензин,285 л.с.,автомат,4WD,зеленый,199664,левый,,890000
32,"Продажа Hyundai ix35, 2012 год в Москве","бензин, 2.0 л",150 л.с.,автомат,4WD,черный,122060,левый,1 поколение,819000
33,"Продажа Skoda Yeti, 2012 год в Москве","бензин, 1.2 л",105 л.с.,автомат,передний,,150000,левый,1 поколение,460000
34,"Продажа Mitsubishi Grandis, 2005 год в Москве","бензин, 2.4 л",165 л.с.,автомат,передний,бежевый,169000,левый,1 поколение,435000
35,"Продажа Skoda Fabia, 2012 год в Москве","бензин, 1.6 л",105 л.с.,автомат,передний,серый,136000,левый,"2 поколение, рестайлинг",340000
36,"Продажа Porsche Macan, 2018 год в Москве",2.0 л,252 л.с.,,4WD,,8000,правый,,3300000
37,"Продажа Audi Q5, 2010 год в Москве","бензин, 2.0 л",211 л.с.,автомат,4WD,серый,170840,левый,1 поколение,820000
38,"Продажа Mercedes-Benz M-Class, 1999 год в Москве","бензин, 3.2 л",218 л.с.,автомат,4WD,черный,270000,левый,1 поколение,259000
39,"Продажа BMW 5-Series, 2017 год в Москве","дизель, 3.0 л",249 л.с.,автомат,4WD,серый,116850,левый,7 поколение,2690000
40,"Продажа Toyota Mark II, 1999 год в Москве","бензин, 2.0 л",160 л.с.,автомат,задний,белый,360000,правый,"8 поколение, рестайлинг",120000
41,"Продажа Nissan Juke, 2014 год в Москве","бензин, 1.6 л",117 л.с.,автомат,передний,белый,103000,левый,1 поколение,582000
42,"Продажа Ford Focus, 2000 год в Москве","бензин, 2.0 л",130 л.с.,автомат,передний,черный,,левый,1 поколение,190000
43,"Продажа Land Rover Range Rover, 2017 год в Москве","бензин, 5.0 л",510 л.с.,автомат,4WD,черный,23182,левый,4 поколение,5858000
44,"Продажа Hyundai Solaris, 2011 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,серый,75000,левый,1 поколение,460000
45,"Продажа Mercedes-Benz GL-Class, 2011 год в Москве","дизель, 3.0 л",224 л.с.,автомат,4WD,черный,172835,левый,"1 поколение, рестайлинг",1058000
46,"Продажа Nissan Qashqai+2, 2010 год в Москве","бензин, 2.0 л",141 л.с.,автомат,4WD,серый,98179,левый,1 поколение,705000
47,"Продажа Skoda Octavia, 2014 год в Москве","бензин, 1.8 л",180 л.с.,автомат,передний,коричневый,157000,левый,3 поколение,740000
48,"Продажа Kia Ceed, 2015 год в Москве","бензин, 1.6 л",129 л.с.,автомат,передний,синий,63300,левый,2 поколение,799000
49,"Продажа Renault Sandero, 2018 год в Москве","бензин, 1.6 л",82 л.с.,механика,передний,белый,47000,левый,2 поколение,579000
50,"Продажа Audi A6, 2012 год в Москве","бензин, 2.0 л",180 л.с.,автомат,передний,белый,85000,левый,4 поколение,799000
51,"Продажа Mercedes-Benz GLK-Class, 2011 год в Москве","дизель, 2.1 л",170 л.с.,автомат,4WD,белый,75000,левый,1 поколение,870000
52,"Продажа Jaguar XF, 2014 год в Москве","бензин, 2.0 л",240 л.с.,автомат,задний,синий,73738,левый,"1 поколение, рестайлинг",1299000
53,"Продажа Лада 2110, 2002 год в Москве","бензин, 1.5 л",73 л.с.,механика,передний,зеленый,260000,,,55000
54,"Продажа Volkswagen Polo, 2016 год в Москве","бензин, 1.6 л",110 л.с.,автомат,передний,черный,55000,левый,"5 поколение, рестайлинг",720000
55,"Продажа Mitsubishi Outlander, 2018 год в Москве","бензин, 2.0 л",146 л.с.,автомат,4WD,белый,66436,левый,3 поколение,1340000
56,"Продажа Chevrolet Orlando, 2013 год в Москве","дизель, 2.0 л",163 л.с.,автомат,передний,серебристый,166500,левый,1 поколение,745000
57,"Продажа Hyundai Creta, 2019 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,белый,5618,левый,1 поколение,1000000
58,"Продажа Kia Ceed, 2013 год в Москве","бензин, 1.6 л",129 л.с.,автомат,передний,коричневый,98500,левый,2 поколение,760000
59,"Продажа Vortex Estina, 2009 год в Москве","бензин, 2.0 л",129 л.с.,механика,передний,синий,118000,левый,1 поколение,150000
60,"Продажа Suzuki Grand Vitara, 2001 год в Москве","бензин, 2.0 л",128 л.с.,автомат,4WD,синий,240000,левый,1 поколение,260000
61,"Продажа Volkswagen Touareg, 2009 год в Москве","дизель, 2.5 л",174 л.с.,автомат,4WD,серый,178000,левый,"1 поколение, рестайлинг",749000
62,"Продажа Kia Sportage, 2011 год в Москве","бензин, 2.0 л",150 л.с.,автомат,4WD,серый,136520,левый,3 поколение,800000
63,"Продажа Volvo XC90, 2006 год в Москве","бензин, 2.5 л",210 л.с.,автомат,4WD,черный,306500,левый,1 поколение,549000
64,"Продажа Nissan Almera, 2017 год в Москве","бензин, 1.6 л",102 л.с.,механика,передний,бежевый,10000,левый,3 поколение,629000
65,"Продажа Opel Astra, 1997 год в Москве","бензин, 1.6 л",75 л.с.,механика,передний,черный,375600,левый,"1 поколение, рестайлинг",75000
66,"Продажа Skoda Yeti, 2011 год в Москве","бензин, 1.2 л",105 л.с.,автомат,передний,красный,76133,левый,1 поколение,459000
67,"Продажа Hyundai i30, 2013 год в Москве","бензин, 1.6 л",130 л.с.,автомат,передний,белый,116000,левый,2 поколение,578000
68,"Продажа Renault Fluence, 2012 год в Москве","бензин, 1.6 л",106 л.с.,механика,передний,серый,132000,левый,1 поколение,459000
69,"Продажа Kia Cerato, 2012 год в Москве","бензин, 1.6 л",126 л.с.,автомат,передний,белый,114039,левый,2 поколение,549000
70,"Продажа Лада 2109, 1999 год в Москве","бензин, 1.5 л",57 л.с.,механика,передний,коричневый,100000,,1 поколение,30000
71,"Продажа Mercedes-Benz S-Class, 2016 год в Москве","бензин, 4.7 л",455 л.с.,автомат,4WD,черный,64332,левый,6 поколение,5271000
72,"Продажа BMW X5, 2015 год в Москве","дизель, 3.0 л",249 л.с.,автомат,4WD,белый,125854,левый,3 поколение,2550000
73,"Продажа BMW X5, 2016 год в Москве","бензин, 3.0 л",306 л.с.,автомат,4WD,черный,152020,левый,3 поколение,2300000
74,"Продажа Kia Sportage, 2013 год в Москве","бензин, 2.0 л",150 л.с.,автомат,передний,коричневый,147062,левый,3 поколение,730000
75,"Продажа Kia Sportage, 2013 год в Москве","бензин, 2.0 л",150 л.с.,автомат,4WD,серый,77000,левый,3 поколение,795000
76,"Продажа Kia Sportage, 2016 год в Москве","бензин, 2.0 л",150 л.с.,автомат,передний,серебристый,75125,левый,,1150000
77,"Продажа Great Wall Hover H5, 2012 год в Москве","бензин, 2.4 л",136 л.с.,механика,4WD,серебристый,169420,левый,1 поколение,425000
78,"Продажа Infiniti FX35, 2005 год в Москве","бензин, 3.5 л",280 л.с.,автомат,4WD,коричневый,134500,левый,1 поколение,460000
79,"Продажа Volvo XC90, 2003 год в Москве","бензин, 2.5 л",210 л.с.,автомат,4WD,черный,169500,левый,1 поколение,445000
80,"Продажа Audi A6, 2002 год в Москве","дизель, 2.5 л",180 л.с.,автомат,4WD,,196350,левый,"2 поколение, рестайлинг",325000
81,"Продажа Kia Sorento, 2004 год в Москве","дизель, 2.5 л",145 л.с.,автомат,4WD,синий,189950,левый,1 поколение,365000
82,"Продажа Opel Insignia, 2014 год в Москве","бензин, 2.0 л",249 л.с.,автомат,4WD,черный,85000,левый,"1 поколение, рестайлинг",1120000
83,"Продажа Porsche Cayenne, 2011 год в Москве","дизель, 3.0 л",245 л.с.,автомат,4WD,бордовый,55000,левый,2 поколение,2190000
84,"Продажа Lexus GS300, 1994 год в Москве","бензин, 3.0 л",220 л.с.,автомат,задний,серебристый,187362,левый,1 поколение,320000
85,"Продажа Kia Ceed, 2015 год в Москве","бензин, 1.6 л",135 л.с.,автомат,передний,черный,159000,левый,2 поколение,849000
86,"Продажа Mitsubishi Lancer Evolution, 1997 год в Москве","бензин, 2.0 л",280 л.с.,механика,4WD,зеленый,185000,правый,4 поколение,340000
87,"Продажа Dodge Intrepid, 2003 год в Москве","бензин, 2.7 л",203 л.с.,,передний,серый,208000,левый,,200000
88,"Продажа Mazda Mazda6, 2012 год в Москве","бензин, 2.0 л",150 л.с.,автомат,передний,белый,155749,левый,3 поколение,759000
89,"Продажа BMW X3, 2014 год в Москве","дизель, 2.0 л",,автомат,4WD,,,левый,2 поколение,1349000
90,"Продажа Hyundai Santa Fe Classic, 2008 год в Москве","дизель, 2.0 л",112 л.с.,автомат,4WD,бежевый,230000,левый,1 поколение,450000
91,"Продажа Skoda Octavia, 2017 год в Москве","бензин, 1.8 л",180 л.с.,автомат,передний,бордовый,76000,левый,3 поколение,990000
92,"Продажа Citroen C4, 2006 год в Москве","бензин, 1.6 л",109 л.с.,механика,передний,черный,190700,левый,1 поколение,180000
93,"Продажа Kia Spectra, 2006 год в Москве","бензин, 1.6 л",101 л.с.,автомат,передний,синий,202000,левый,2 поколение,150000
94,"Продажа Lexus GS300, 1998 год в Москве","бензин, 3.0 л",225 л.с.,автомат,задний,зеленый,"264000, б/п по РФ",правый,,220000
95,"Продажа Nissan Serena, 2014 год в Москве","бензин, 2.0 л, гибрид",147 л.с.,автомат,передний,черный,"125000, б/п по РФ",правый,"4 поколение, рестайлинг",1225000
96,"Продажа Volvo XC70, 2006 год в Москве","бензин, 2.5 л",210 л.с.,автомат,4WD,черный,212000,левый,"2 поколение, рестайлинг",550000
97,"Продажа BMW 7-Series, 2018 год в Москве","дизель, 2.0 л",231 л.с.,автомат,4WD,черный,26000,левый,6 поколение,4500000
98,"Продажа Nissan Almera, 2017 год в Москве","бензин, 1.6 л",102 л.с.,автомат,передний,белый,62000,левый,3 поколение,530000
99,"Продажа Volkswagen Passat, 2017 год в Москве","бензин, 1.8 л",180 л.с.,автомат,передний,коричневый,47000,левый,8 поколение,32000
100,"Продажа BMW 3-Series, 2006 год в Москве","бензин, 2.0 л",150 л.с.,автомат,задний,черный,267508,левый,5 поколение,420000
101,"Продажа Mitsubishi Outlander, 2012 год в Москве","бензин, 2.0 л",146 л.с.,автомат,4WD,серый,140000,левый,3 поколение,819000
102,"Продажа Renault Logan, 2013 год в Москве","бензин, 1.4 л",75 л.с.,механика,передний,бордовый,185000,левый,"1 поколение, рестайлинг",200000
103,"Продажа Porsche Cayenne, 2008 год в Москве","дизель, 3.0 л",240 л.с.,автомат,4WD,черный,247000,левый,"1 поколение, рестайлинг",1150000
104,"Продажа Nissan Leaf, 2016 год в Москве",электро,109 л.с.,автомат,передний,белый,13000,правый,1 поколение,950000
105,"Продажа Ford Focus, 2017 год в Москве","бензин, 1.6 л",125 л.с.,автомат,передний,белый,118500,левый,"3 поколение, рестайлинг",767000
106,"Продажа Лада Приора, 2008 год в Москве","бензин, 1.6 л",98 л.с.,механика,передний,черный,137000,левый,1 поколение,117000
107,"Продажа Ford Ranger, 2012 год в Москве","дизель, 3.2 л",200 л.с.,механика,4WD,синий,184000,левый,3 поколение,1277000
108,"Продажа Honda Mobilio Spike, 2003 год в Москве","бензин, 1.5 л",110 л.с.,автомат,передний,серый,301195,левый,,179000
109,"Продажа Ford Focus, 2016 год в Москве","бензин, 1.6 л",125 л.с.,механика,передний,серебристый,47615,левый,"3 поколение, рестайлинг",719000
110,"Продажа Fiat Linea, 2008 год в Москве","бензин, 1.4 л",120 л.с.,механика,передний,голубой,222684,левый,1 поколение,249000
111,"Продажа Suzuki Grand Vitara, 2008 год в Москве","бензин, 2.4 л",169 л.с.,автомат,4WD,серебристый,152130,левый,"2 поколение, рестайлинг",449000
112,"Продажа Kia Sorento, 2015 год в Москве","бензин, 2.4 л",175 л.с.,автомат,4WD,бежевый,68906,левый,"2 поколение, рестайлинг",1389000
113,"Продажа Nissan Qashqai, 2011 год в Москве","бензин, 2.0 л",141 л.с.,автомат,передний,белый,268783,левый,"1 поколение, рестайлинг",499000
114,"Продажа Kia Soul, 2019 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,синий,2561,левый,,1279000
115,"Продажа Citroen C1, 2014 год в Москве","бензин, 1.0 л",68 л.с.,механика,передний,серебристый,17010,левый,"1 поколение, 2 рестайлинг",419000
116,"Продажа Nissan X-Trail, 2015 год в Москве","бензин, 2.0 л",144 л.с.,автомат,4WD,черный,184886,левый,3 поколение,939000
117,"Продажа Kia Optima, 2018 год в Москве","бензин, 2.0 л",245 л.с.,автомат,передний,черный,55000,левый,"4 поколение, рестайлинг",1490000
118,"Продажа Nissan Teana, 2011 год в Москве","бензин, 2.5 л",182 л.с.,автомат,передний,черный,141000,левый,"2 поколение, рестайлинг",600000
119,"Продажа BMW X3, 2009 год в Москве","бензин, 2.5 л",218 л.с.,автомат,4WD,синий,137000,левый,"1 поколение, рестайлинг",700000
120,"Продажа Mitsubishi Pajero, 1994 год в Москве","бензин, 3.5 л",208 л.с.,механика,4WD,серый,145823,левый,2 поколение,98000
121,"Продажа Toyota Land Cruiser, 2012 год в Москве","дизель, 4.5 л",235 л.с.,автомат,4WD,серый,61500,левый,11 поколение,3350000
122,"Продажа Kia Rio, 2015 год в Москве","бензин, 1.4 л",107 л.с.,автомат,передний,коричневый,58800,левый,"3 поколение, рестайлинг",535000
123,"Продажа Лада 2114 Самара, 2005 год в Москве","бензин, 1.5 л",77 л.с.,механика,передний,синий,303000,левый,1 поколение,100000
124,"Продажа Audi A6, 2016 год в Москве","бензин, 1.8 л",190 л.с.,автомат,4WD,синий,92000,левый,,1499000
125,"Продажа BMW X1, 2014 год в Москве","бензин, 2.0 л",150 л.с.,автомат,задний,черный,84470,,,925000
126,"Продажа Skoda Rapid, 2016 год в Москве","бензин, 1.6 л",90 л.с.,механика,передний,белый,126587,,,515000
127,"Продажа Opel Astra, 2012 год в Москве","бензин, 1.8 л",140 л.с.,автомат,передний,белый,166807,,,425000
128,"Продажа Renault Logan, 2016 год в Москве","бензин, 1.6 л",82 л.с.,механика,передний,белый,100187,,,410000
129,"Продажа Volkswagen Polo, 2015 год в Москве","бензин, 1.6 л",105 л.с.,автомат,передний,черный,86000,,,550000
130,"Продажа Ford Focus, 2016 год в Москве","бензин, 1.6 л",105 л.с.,автомат,передний,серебристый,80966,,,665000
131,"Продажа Kia Rio, 2016 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,белый,74421,,,630000
132,"Продажа Kia Rio, 2018 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,бежевый,20000,левый,4 поколение,600000
133,"Продажа Kia Soul, 2011 год в Москве","бензин, 1.6 л",126 л.с.,автомат,передний,оранжевый,139500,левый,,605000
134,"Продажа Volkswagen Touareg, 2013 год в Москве","дизель, 3.0 л",204 л.с.,автомат,4WD,белый,115000,левый,2 поколение,1699000
135,"Продажа Mercedes-Benz M-Class, 2013 год в Москве","дизель, 3.0 л",258 л.с.,автомат,4WD,черный,98000,левый,3 поколение,1800000
136,"Продажа Audi A4, 2008 год в Москве","бензин, 1.8 л",160 л.с.,автомат,передний,черный,180000,левый,4 поколение,555000
137,"Продажа Audi A4, 2008 год в Москве","бензин, 1.8 л",160 л.с.,автомат,передний,черный,180000,левый,4 поколение,555000
138,"Продажа Honda Accord, 2008 год в Москве","бензин, 2.4 л",201 л.с.,автомат,передний,синий,210000,левый,8 поколение,635000
139,"Продажа Hyundai i30, 2011 год в Москве","бензин, 1.6 л",126 л.с.,механика,передний,серый,146000,левый,"1 поколение, рестайлинг",400000
140,"Продажа Nissan Qashqai, 2008 год в Москве","бензин, 2.0 л",141 л.с.,автомат,4WD,черный,172000,левый,1 поколение,490000
141,"Продажа Skoda Yeti, 2014 год в Москве","бензин, 1.8 л",152 л.с.,автомат,4WD,коричневый,97000,левый,1 поколение,780000
142,"Продажа Renault Duster, 2016 год в Москве","бензин, 2.0 л",143 л.с.,автомат,4WD,белый,115000,левый,"1 поколение, рестайлинг",625000
143,"Продажа Mercedes-Benz B-Class, 2011 год в Москве","бензин, 1.7 л",116 л.с.,автомат,передний,синий,137000,левый,1 поколение,575000
144,"Продажа Infiniti QX56, 2011 год в Москве","бензин, 5.6 л",405 л.с.,автомат,4WD,черный,170300,левый,2 поколение,1377000
145,"Продажа Audi A5, 2011 год в Москве","бензин, 2.0 л",211 л.с.,автомат,4WD,белый,147800,левый,1 поколение,800000
146,"Продажа Dodge Caravan, 2001 год в Москве","бензин, 3.3 л",180 л.с.,автомат,передний,синий,280000,левый,4 поколение,190000
147,"Продажа Suzuki SX4, 2011 год в Москве","бензин, 1.6 л",112 л.с.,автомат,передний,серебристый,125000,левый,1 поколение,520000
148,"Продажа Nissan Qashqai, 2016 год в Москве","бензин, 2.0 л",144 л.с.,автомат,передний,черный,18800,левый,2 поколение,1237000
149,"Продажа Ford Focus, 2007 год в Москве","бензин, 1.6 л",116 л.с.,механика,передний,черный,153000,левый,,257000
150,"Продажа Nissan Qashqai, 2017 год в Москве","бензин, 2.0 л",144 л.с.,автомат,передний,белый,70000,левый,2 поколение,1099000
151,"Продажа Subaru Legacy B4, 2006 год в Москве","бензин, 2.0 л",260 л.с.,автомат,4WD,синий,180000,правый,"4 поколение, рестайлинг",550000
152,"Продажа Lifan X50, 2015 год в Москве","бензин, 1.5 л",103 л.с.,механика,передний,красный,49000,,1 поколение,369000
153,"Продажа Mazda CX-9, 2019 год в Москве","бензин, 2.5 л",231 л.с.,автомат,4WD,серый,3955,левый,2 поколение,2900000
154,"Продажа Cadillac SRX, 2014 год в Москве","бензин, 3.0 л",249 л.с.,автомат,4WD,черный,124000,левый,"2 поколение, рестайлинг",1279000
155,"Продажа Skoda Yeti, 2012 год в Москве","бензин, 1.2 л",105 л.с.,автомат,передний,белый,76495,левый,1 поколение,477000
156,"Продажа Opel Insignia, 2014 год в Москве","бензин, 2.0 л",249 л.с.,автомат,4WD,зеленый,189375,левый,"1 поколение, рестайлинг",870000
157,"Продажа Toyota Noah, 2002 год в Москве","бензин, 2.0 л",156 л.с.,автомат,передний,серый,337099,левый,,414000
158,"Продажа Skoda Yeti, 2012 год в Москве","бензин, 1.2 л",105 л.с.,автомат,передний,черный,103700,левый,1 поколение,425000
159,"Продажа Kia Ceed, 2011 год в Москве","бензин, 1.6 л",122 л.с.,автомат,передний,черный,141000,левый,"1 поколение, рестайлинг",399807
160,"Продажа Kia Sorento, 2013 год в Москве","дизель, 2.2 л",197 л.с.,автомат,4WD,серый,239000,левый,"2 поколение, рестайлинг",945000
161,"Продажа Volkswagen Tiguan, 2014 год в Москве","бензин, 2.0 л",170 л.с.,автомат,4WD,коричневый,93000,левый,"1 поколение, рестайлинг",949000
162,"Продажа Kia Sportage, 2012 год в Москве","бензин, 2.0 л",150 л.с.,механика,передний,оранжевый,135000,левый,3 поколение,699807
163,"Продажа Kia Sportage, 2014 год в Москве","бензин, 2.0 л",150 л.с.,автомат,4WD,синий,239217,левый,3 поколение,829900
164,"Продажа BMW X5, 2014 год в Москве","бензин, 3.0 л",306 л.с.,автомат,4WD,синий,51581,левый,3 поколение,2297000
165,"Продажа Toyota Land Cruiser Prado, 2009 год в Москве","дизель, 3.0 л",173 л.с.,автомат,4WD,бежевый,160000,левый,,1499807
166,"Продажа Hyundai Creta, 2017 год в Москве","бензин, 1.6 л",121 л.с.,механика,4WD,серый,68062,левый,1 поколение,860000
167,"Продажа Kia Sorento, 2013 год в Москве","бензин, 2.4 л",175 л.с.,автомат,4WD,черный,74000,левый,"2 поколение, рестайлинг",1028000
168,"Продажа Skoda Octavia, 2011 год в Москве","бензин, 1.6 л",102 л.с.,автомат,передний,черный,107000,левый,"2 поколение, рестайлинг",555000
169,"Продажа Opel Antara, 2010 год в Москве","бензин, 3.2 л",227 л.с.,автомат,4WD,черный,102000,левый,1 поколение,595000
170,"Продажа Opel Insignia, 2012 год в Москве","бензин, 2.0 л",220 л.с.,автомат,передний,черный,138000,левый,1 поколение,625000
171,"Продажа Nissan Almera Classic, 2008 год в Москве","бензин, 1.6 л",107 л.с.,механика,передний,черный,162000,левый,1 поколение,275000
172,"Продажа Daihatsu Sirion, 1998 год в Москве","бензин, 1.0 л",55 л.с.,автомат,передний,серый,190000,левый,,120000
173,"Продажа Honda Stepwgn, 2016 год в Москве","бензин, 1.5 л",150 л.с.,автомат,4WD,черный,б/п по РФ,правый,5 поколение,1290000
174,"Продажа Toyota Mark II, 2000 год в Москве","бензин, 2.5 л",200 л.с.,автомат,задний,серый,160000,правый,,620000
175,"Продажа Nissan Qashqai, 2019 год в Москве","бензин, 2.0 л",144 л.с.,автомат,4WD,серый,8700,левый,"2 поколение, рестайлинг",1520000
176,"Продажа Toyota Mark II, 2002 год в Москве","бензин, 2.5 л",280 л.с.,автомат,задний,серый,120000,правый,9 поколение,499999
177,"Продажа Toyota Land Cruiser, 2015 год в Москве","дизель, 4.5 л",249 л.с.,автомат,4WD,белый,80500,левый,"11 поколение, 2 рестайлинг",3500000
178,"Продажа Лада Калина, 2008 год в Москве","бензин, 1.6 л",82 л.с.,механика,передний,фиолетовый,,,1 поколение,150000
179,"Продажа Volvo 960, 1996 год в Москве","бензин, 2.5 л",170 л.с.,механика,задний,синий,550000,,,110000
180,"Продажа Chevrolet Lacetti, 2008 год в Москве",,,,,серебристый,188000,левый,1 поколение,285000
181,"Продажа Smart Forfour, 2017 год в Москве","бензин, 1.0 л",71 л.с.,автомат,задний,желтый,25000,левый,2 поколение,710000
182,"Продажа Great Wall Hover H3, 2013 год в Москве","бензин, 2.4 л",126 л.с.,механика,4WD,серебристый,112000,левый,1 поколение,420000
183,"Продажа BMW 5-Series Gran Turismo, 2010 год в Москве","дизель, 3.0 л",245 л.с.,автомат,4WD,серый,203000,левый,6 поколение,1200000
184,"Продажа Kia Rio, 2011 год в Москве","бензин, 1.4 л",95 л.с.,механика,передний,бежевый,98000,левый,"2 поколение, рестайлинг",360000
185,"Продажа Nissan Note, 2011 год в Москве","бензин, 1.6 л",110 л.с.,автомат,передний,,170000,левый,"1 поколение, рестайлинг",350000
186,"Продажа Kia Sportage, 2012 год в Москве","бензин, 2.0 л",150 л.с.,автомат,передний,черный,85000,левый,3 поколение,790000
187,"Продажа Ford Mondeo, 2011 год в Москве","бензин, 2.0 л",200 л.с.,автомат,передний,белый,92000,левый,"4 поколение, рестайлинг",539000
188,"Продажа Mazda CX-7, 2010 год в Москве","бензин, 2.3 л",238 л.с.,автомат,4WD,черный,98000,левый,1 поколение,589000
189,"Продажа Chevrolet Cruze, 2011 год в Москве","бензин, 1.8 л",141 л.с.,автомат,передний,серый,97000,левый,1 поколение,409000
190,"Продажа Hyundai Solaris, 2015 год в Москве","бензин, 1.4 л",107 л.с.,автомат,передний,оранжевый,97000,левый,"1 поколение, рестайлинг",520000
191,"Продажа Kia Rio, 2016 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,черный,89875,левый,"3 поколение, рестайлинг",598000
192,"Продажа Chevrolet Aveo, 2014 год в Москве","бензин, 1.6 л",116 л.с.,автомат,передний,серебристый,65000,левый,,450000
193,"Продажа Toyota Wish, 2003 год в Москве",бензин,,автомат,передний,красный,299999,правый,1 поколение,395000
194,"Продажа Lexus IS250, 2008 год в Москве","бензин, 2.5 л",208 л.с.,автомат,задний,зеленый,280000,левый,2 поколение,698000
